id,suraNo,suraName,aya,arabic_text,translation,footnotes
1111,7,Araf,157,اَلَّذ۪ينَ يَتَّبِعُونَ الرَّسُولَ النَّبِيَّ الْاُمِّيَّ الَّذ۪ي يَجِدُونَهُ مَكْتُوبًا عِنْدَهُمْ فِي التَّوْرٰيةِ وَالْاِنْج۪يلِۘ يَأْمُرُهُمْ بِالْمَعْرُوفِ وَيَنْهٰيهُمْ عَنِ الْمُنْكَرِ وَيُحِلُّ لَهُمُ الطَّيِّبَاتِ وَيُحَرِّمُ عَلَيْهِمُ الْخَبَٓائِثَ وَيَضَعُ عَنْهُمْ اِصْرَهُمْ وَالْاَغْلَالَ الَّت۪ي كَانَتْ عَلَيْهِمْۜ فَالَّذ۪ينَ اٰمَنُوا بِه۪ وَعَزَّرُوهُ وَنَصَرُوهُ وَاتَّبَعُوا النُّورَ الَّذ۪ٓي اُنْزِلَ مَعَهُٓۙ اُو۬لٰٓئِكَ هُمُ الْمُفْلِحُونَ۟,"“Onlar ki; yanlarında bulunan Tevrat ve İncil’de yazılı olarak (sıfatlarını) buldukları ümmi olan Resûl Nebi’ye uyarlar. Onlara iyiliği emreder, kötülükten sakındırır; temiz şeyleri helal, pis şeyleri haram kılar; sırtlarındaki ağır yükü ve zincirlerini kaldırır. Ona iman edenler, onu saygı ile yüceltenler, ona yardım edenler ve onunla beraber indirilen Nur’a (Kur’ân’a) uyanlar... İşte bunlar, kurtuluşa erenlerin ta kendileridir.”",
1112,7,Araf,158,قُلْ يَٓا اَيُّهَا النَّاسُ اِنّ۪ي رَسُولُ اللّٰهِ اِلَيْكُمْ جَم۪يعًاۨ الَّذ۪ي لَهُ مُلْكُ السَّمٰوَاتِ وَالْاَرْضِۚ لَٓا اِلٰهَ اِلَّا هُوَ يُحْي۪ وَيُم۪يتُۖ فَاٰمِنُوا بِاللّٰهِ وَرَسُولِهِ النَّبِيِّ الْاُمِّيِّ الَّذ۪ي يُؤْمِنُ بِاللّٰهِ وَكَلِمَاتِه۪ وَاتَّبِعُوهُ لَعَلَّكُمْ تَهْتَدُونَ,"De ki: “Ey insanlar! Şüphesiz ki ben, Allah’ın tümünüze (yolladığı) Resûl’üyüm. O (Allah ki) göklerin ve yerin hâkimiyeti/egemenliği O’na aittir. O’ndan başka (ibadeti hak eden) hiçbir ilah yoktur. Diriltir ve öldürür. Allah’a ve Resûl'ü olan ümmi Nebi’ye iman edin. O (Nebi), Allah’a ve O’nun kelimelerine iman eder. Ona uyun ki, hidayet bulasınız.”",
1113,7,Araf,159,وَمِنْ قَوْمِ مُوسٰٓى اُمَّةٌ يَهْدُونَ بِالْحَقِّ وَبِه۪ يَعْدِلُونَ,Musa’nın kavminden öyle bir topluluk vardır ki; hakka çağırır ve hakla hükmederler.,
1114,7,Araf,160,وَقَطَّعْنَاهُمُ اثْنَتَيْ عَشْرَةَ اَسْبَاطًا اُمَمًاۜ وَاَوْحَيْنَٓا اِلٰى مُوسٰٓى اِذِ اسْتَسْقٰيهُ قَوْمُهُٓ اَنِ اضْرِبْ بِعَصَاكَ الْحَجَرَۚ فَانْبَجَسَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًاۜ قَدْ عَلِمَ كُلُّ اُنَاسٍ مَشْرَبَهُمْۜ وَظَلَّلْنَا عَلَيْهِمُ الْغَمَامَ وَاَنْزَلْنَا عَلَيْهِمُ الْمَنَّ وَالسَّلْوٰىۜ كُلُوا مِنْ طَيِّبَاتِ مَا رَزَقْنَاكُمْۜ وَمَا ظَلَمُونَا وَلٰكِنْ كَانُٓوا اَنْفُسَهُمْ يَظْلِمُونَ,"Biz, onları on iki ayrı oymak olarak gruplara ayırdık. Kavmi Musa’dan su talebinde bulunduğunda Musa’ya: “Asanı taşa vur.” diye vahyettik. (Asasını taşa vurunca) ondan on iki pınar fışkırdı. Her insan topluluğu su içeceği çeşmeyi bildi. Bulutlarla onları gölgeledik ve üzerlerine kudret helvası ve bıldırcın eti indirdik. (Sonra:) “Allah’ın sizi rızıklandırdığı temiz şeylerden yiyin.” (dedik.) Onlar bize zulmetmediler. (İşledikleri günahlarla) kendilerine zulmediyorlardı.",
1115,7,Araf,161,وَاِذْ ق۪يلَ لَهُمُ اسْكُنُوا هٰذِهِ الْقَرْيَةَ وَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ وَقُولُوا حِطَّةٌ وَادْخُلُوا الْبَابَ سُجَّدًا نَغْفِرْ لَكُمْ خَط۪ٓيـَٔاتِكُمْۜ سَنَز۪يدُ الْمُحْسِن۪ينَ,"Onlara: “Bu beldeye yerleşin, orada dilediğiniz yerden yiyin, ‘Hıttatun/Günahlarımızı dök.’ deyin, kapıdan secde ederek girin ki biz de hatalarınızı bağışlayalım. Muhsinlere/kulluğunu en güzel şekilde yapmaya çalışanlara (ihsanlarımızı) arttıracağız.” denildiğinde,",
1116,7,Araf,162,فَبَدَّلَ الَّذ۪ينَ ظَلَمُوا مِنْهُمْ قَوْلًا غَيْرَ الَّذ۪ي ق۪يلَ لَهُمْ فَاَرْسَلْنَا عَلَيْهِمْ رِجْزًا مِنَ السَّمَٓاءِ بِمَا كَانُوا يَظْلِمُونَ۟,"Onlardan zalim olanlar, kendilerine söylenen sözü başkasıyla (“Günahlarımızı dök” anlamında “Hıttatun” kelimesini “buğday” anlamına gelen “Hıntatun” ile) değiştirdiler. Biz de zulümlerine karşılık gökten bir azap saldık üzerlerine.",
1117,7,Araf,163,وَسْـَٔلْهُمْ عَنِ الْقَرْيَةِ الَّت۪ي كَانَتْ حَاضِرَةَ الْبَحْرِۢ اِذْ يَعْدُونَ فِي السَّبْتِ اِذْ تَأْت۪يهِمْ ح۪يتَانُهُمْ يَوْمَ سَبْتِهِمْ شُرَّعًا وَيَوْمَ لَا يَسْبِتُونَۙ لَا تَأْت۪يهِمْۚ كَذٰلِكَ نَبْلُوهُمْ بِمَا كَانُوا يَفْسُقُونَ,"Onlara deniz kıyısındaki (o sahil) kasabasının durumunu da sor. Hani onlar Cumartesi Günü'nde (Avlanma Yasağı''nı çiğneyerek) haddi aşmışlardı. Cumartesi Yasağına uyduklarında balıklar her taraftan akın ediyordu. Yasağa uymadıklarında ise gelmiyorlardı. İşte biz, fasıklıkları nedeniyle onları böyle imtihan ediyorduk.",
1118,7,Araf,164,وَاِذْ قَالَتْ اُمَّةٌ مِنْهُمْ لِمَ تَعِظُونَ قَوْمًاۨۙ اللّٰهُ مُهْلِكُهُمْ اَوْ مُعَذِّبُهُمْ عَذَابًا شَد۪يدًاۜ قَالُوا مَعْذِرَةً اِلٰى رَبِّكُمْ وَلَعَلَّهُمْ يَتَّقُونَ,Onlardan bir topluluk: “Allah’ın helak edeceği ya da çetin bir azaba çarptıracağı kimselere ne diye öğüt veriyorsunuz?” dediği zaman: “Rabbinize sunacağımız bir mazeretimiz olsun ve umulur ki korkup sakınırlar.” demişlerdi.,
1119,7,Araf,165,فَلَمَّا نَسُوا مَا ذُكِّرُوا بِه۪ٓ اَنْجَيْنَا الَّذ۪ينَ يَنْهَوْنَ عَنِ السُّٓوءِ وَاَخَذْنَا الَّذ۪ينَ ظَلَمُوا بِعَذَابٍ بَـ۪ٔيسٍ بِمَا كَانُوا يَفْسُقُونَ,"Kendilerine hatırlatılanı unuttukları vakit, kötülükten alıkoyanları kurtarmış, zalimleri ise fasıklıkları sebebiyle zorlu bir azapla yakalayıvermiştik.",
1120,7,Araf,166,فَلَمَّا عَتَوْا عَنْ مَا نُهُوا عَنْهُ قُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِـ۪ٔينَ,Yasaklandıkları şeyi yapmakta diretince: “Alçak/Aşağılık maymunlar olun!” demiştik.,
1121,7,Araf,167,وَاِذْ تَاَذَّنَ رَبُّكَ لَيَبْعَثَنَّ عَلَيْهِمْ اِلٰى يَوْمِ الْقِيٰمَةِ مَنْ يَسُومُهُمْ سُٓوءَ الْعَذَابِۜ اِنَّ رَبَّكَ لَسَر۪يعُ الْعِقَابِۚ وَاِنَّهُ لَغَفُورٌ رَح۪يمٌ,"O zaman Rabbin, kıyamete kadar onlara, işkencenin en kötüsünü reva görecek birilerini yollayacağını/musallat edeceğini bildirdi. Şüphesiz ki Rabbinin cezalandırması pek çabuktur. Şüphesiz ki O, (günahları bağışlayan, örten ve günahların kötü akıbetinden kulu koruyan) Ğafûr, (kullarına karşı merhametli olan) Rahîm’dir.",
1122,7,Araf,168,وَقَطَّعْنَاهُمْ فِي الْاَرْضِ اُمَمًاۚ مِنْهُمُ الصَّالِحُونَ وَمِنْهُمْ دُونَ ذٰلِكَۘ وَبَلَوْنَاهُمْ بِالْحَسَنَاتِ وَالسَّيِّـَٔاتِ لَعَلَّهُمْ يَرْجِعُونَ,"Onları yeryüzünde topluluklar hâlinde böldük. İçlerinde salih kimseler olduğu gibi, böyle olmayanlar da vardır. (Takva ve salihliğe) dönerler diye onları iyilikler ve kötülüklerle imtihan ettik.",
1123,7,Araf,169,فَخَلَفَ مِنْ بَعْدِهِمْ خَلْفٌ وَرِثُوا الْكِتَابَ يَأْخُذُونَ عَرَضَ هٰذَا الْاَدْنٰى وَيَقُولُونَ سَيُغْفَرُ لَنَاۚ وَاِنْ يَأْتِهِمْ عَرَضٌ مِثْلُهُ يَأْخُذُوهُۜ اَلَمْ يُؤْخَذْ عَلَيْهِمْ م۪يثَاقُ الْكِتَابِ اَنْ لَا يَقُولُوا عَلَى اللّٰهِ اِلَّا الْحَقَّ وَدَرَسُوا مَا ف۪يهِۜ وَالدَّارُ الْاٰخِرَةُ خَيْرٌ لِلَّذ۪ينَ يَتَّقُونَۜ اَفَلَا تَعْقِلُونَ,Sonra onların yerine Kitab’a da mirasçı olan bir topluluk geçti. Dünya malının değersiz olanını alıyor ve (ne de olsa): “Günahlarımız bağışlanacak.” diyorlardı. (Güya tevbe etmelerine rağmen) değersiz bir dünya malı geldiğinde yine onu alıyorlar. Oysa Allah’a karşı yalnızca hak olanı söyleyeceklerine dair onlardan Kitap sözü alınmamış mıydı? Kitab’ın içindekileri de sürekli okuyanlardı hâlbuki. Ahiret yurdu korkup sakınanlar için daha hayırlıdır. Akletmez misiniz?,
1124,7,Araf,170,وَالَّذ۪ينَ يُمَسِّكُونَ بِالْكِتَابِ وَاَقَامُوا الصَّلٰوةَۜ اِنَّا لَا نُض۪يعُ اَجْرَ الْمُصْلِح۪ينَ,"Kitab’a (dört elle) yapışanlar ve namazı dosdoğru kılanlar var ya! Şüphesiz biz, ıslah edenlerin ecirlerini zayi etmeyiz.",
1125,7,Araf,171,وَاِذْ نَتَقْنَا الْجَبَلَ فَوْقَهُمْ كَاَنَّهُ ظُلَّةٌ وَظَنُّٓوا اَنَّهُ وَاقِعٌ بِهِمْۚ خُذُوا مَٓا اٰتَيْنَاكُمْ بِقُوَّةٍ وَاذْكُرُوا مَا ف۪يهِ لَعَلَّكُمْ تَتَّقُونَ۟,"(Hatırlayın!) Hani bir zamanlar, (Tur) Dağı’nı bir gölgelik gibi tepelerinde yükseltmiştik de, onun tepelerine düşeceğini sanmışlardı. (O sırada onlara şöyle öğüt vermiştik:) “Size verdiğimize kuvvetle yapışın ve içindekileri hatırlayın ki korkup sakınasınız.”",
1126,7,Araf,172,وَاِذْ اَخَذَ رَبُّكَ مِنْ بَن۪ٓي اٰدَمَ مِنْ ظُهُورِهِمْ ذُرِّيَّتَهُمْ وَاَشْهَدَهُمْ عَلٰٓى اَنْفُسِهِمْۚ اَلَسْتُ بِرَبِّكُمْۜ قَالُوا بَلٰىۚۛ شَهِدْنَاۚۛ اَنْ تَقُولُوا يَوْمَ الْقِيٰمَةِ اِنَّا كُنَّا عَنْ هٰذَا غَافِل۪ينَۙ,"(Hatırla!) Hani Rabbin Âdemoğullarının sırtlarından zürriyetlerini almış ve onları kendilerine şahit tutarak: “Ben sizin Rabbiniz değil miyim?” demişti. Demişlerdi ki: “Evet! (Sen bizim Rabbimizsin!) Şahit olduk.” (Bu,) Kıyamet Günü: “Biz bundan habersizdik.” dememeniz içindir.",
1127,7,Araf,173,اَوْ تَقُولُٓوا اِنَّمَٓا اَشْرَكَ اٰبَٓاؤُ۬نَا مِنْ قَبْلُ وَكُنَّا ذُرِّيَّةً مِنْ بَعْدِهِمْۚ اَفَتُهْلِكُنَا بِمَا فَعَلَ الْمُبْطِلُونَ,Ya da: “Babalarımız daha önce şirk koşmuştu. Biz ise onlardan sonra gelen (ve onları taklit eden) bir nesiliz. Batıl ehlinin yaptıkları yüzünden bizi helak mı edeceksin?” dememeniz içindir.,
1128,7,Araf,174,وَكَذٰلِكَ نُفَصِّلُ الْاٰيَاتِ وَلَعَلَّهُمْ يَرْجِعُونَ,Ayetleri böyle detaylı bir şekilde açıklıyoruz ki (Allah’a verdikleri söze) dönsünler.,
1129,7,Araf,175,وَاتْلُ عَلَيْهِمْ نَبَاَ الَّذ۪ٓي اٰتَيْنَاهُ اٰيَاتِنَا فَانْسَلَخَ مِنْهَا فَاَتْبَعَهُ الشَّيْطَانُ فَكَانَ مِنَ الْغَاو۪ينَ,"Onlara, ayetlerimizi verdiğimiz kişinin durumunu anlat. O, ayetlerimizden sıyrılmış, (derken) şeytan onu kendisine uydurmuş ve (bütün bunların neticesinde) azgınlardan olmuştu.",
1130,7,Araf,176,وَلَوْ شِئْنَا لَرَفَعْنَاهُ بِهَا وَلٰكِنَّهُٓ اَخْلَدَ اِلَى الْاَرْضِ وَاتَّبَعَ هَوٰيهُۚ فَمَثَلُهُ كَمَثَلِ الْكَلْبِۚ اِنْ تَحْمِلْ عَلَيْهِ يَلْهَثْ اَوْ تَتْرُكْهُ يَلْهَثْۜ ذٰلِكَ مَثَلُ الْقَوْمِ الَّذ۪ينَ كَذَّبُوا بِاٰيَاتِنَاۚ فَاقْصُصِ الْقَصَصَ لَعَلَّهُمْ يَتَفَكَّرُونَ,"Şayet biz isteseydik onu (kendisine verdiğimiz ilim ve deliller sayesinde) yüceltirdik. Fakat o, dünyaya meyletti ve hevasına/arzusuna uydu. Onun misali, üzerine gitsen de dili dışarda soluyan kendi hâline terk etsen de dili dışarda soluyan köpek gibidir. Bu, ayetlerimizi yalanlayan topluluğun misalidir. İyice düşünsünler diye kıssaları anlat.",
1131,7,Araf,177,سَٓاءَ مَثَلًاۨ الْقَوْمُ الَّذ۪ينَ كَذَّبُوا بِاٰيَاتِنَا وَاَنْفُسَهُمْ كَانُوا يَظْلِمُونَ,Ayetlerimizi yalanlayan ve yalnızca kendilerine zulmetmekte olanların misali ne kötüdür.,
1132,7,Araf,178,مَنْ يَهْدِ اللّٰهُ فَهُوَ الْمُهْتَد۪يۚ وَمَنْ يُضْلِلْ فَاُو۬لٰٓئِكَ هُمُ الْخَاسِرُونَ,"Allah kimi hidayet ederse o, hidayeti bulmuştur. Kimi de saptırırsa bunlar, hüsrana uğrayanların ta kendileridir.",
1133,7,Araf,179,وَلَقَدْ ذَرَأْنَا لِجَهَنَّمَ كَث۪يرًا مِنَ الْجِنِّ وَالْاِنْسِۘ لَهُمْ قُلُوبٌ لَا يَفْقَهُونَ بِهَاۘ وَلَهُمْ اَعْيُنٌ لَا يُبْصِرُونَ بِهَاۘ وَلَهُمْ اٰذَانٌ لَا يَسْمَعُونَ بِهَاۜ اُو۬لٰٓئِكَ كَالْاَنْعَامِ بَلْ هُمْ اَضَلُّۜ اُو۬لٰٓئِكَ هُمُ الْغَافِلُونَ,"Andolsun ki cehennemi, kalpleri olup da onunla (hakikati) anlamayan, gözleri olup da onunla (hakikati) görmeyen; kulakları olup da onunla (hakikati) duymayan insanlar ve cinlerin çoğunluğu için yarattık/hazırladık. Bunlar hayvanlar gibidir, hatta (hayvanlardan) daha sapkınlardır. Bunlar gafillerin ta kendileridir.",
1134,7,Araf,180,وَلِلّٰهِ الْاَسْمَٓاءُ الْحُسْنٰى فَادْعُوهُ بِهَاۖ وَذَرُوا الَّذ۪ينَ يُلْحِدُونَ ف۪ٓي اَسْمَٓائِه۪ۜ سَيُجْزَوْنَ مَا كَانُوا يَعْمَلُونَ,En güzel isimler Allah’ındır. (Öyleyse) bu isimlerle O’na dua edin. O’nun isimlerinde ilhada/eğriliğe sapanları (kendi hâllerine) bırakın. Yaptıklarının cezasını göreceklerdir.,
1135,7,Araf,181,وَمِمَّنْ خَلَقْنَٓا اُمَّةٌ يَهْدُونَ بِالْحَقِّ وَبِه۪ يَعْدِلُونَ۟,Bizim yarattıklarımız içinde öyle bir topluluk vardır ki; hakka çağırır ve hakla hükmederler (veya hak/vahiy ile rehberlik eder ve onunla adaleti sağlarlar).,
1136,7,Araf,182,وَالَّذ۪ينَ كَذَّبُوا بِاٰيَاتِنَا سَنَسْتَدْرِجُهُمْ مِنْ حَيْثُ لَا يَعْلَمُونَۚ,"Ayetlerimizi yalanlayanları ise, hiç bilmedikleri yönlerden derece derece/adım adım (azaba) yaklaştıracağız.",
1137,7,Araf,183,وَاُمْل۪ي لَهُمْۜ اِنَّ كَيْد۪ي مَت۪ينٌ,"Onlara mühlet veriyorum. Benim (adım adım azaba yaklaştırmak için, onlara kurduğum) tuzağım pek sağlamdır.",
1138,7,Araf,184,اَوَلَمْ يَتَفَكَّرُوا مَا بِصَاحِبِهِمْ مِنْ جِنَّةٍۜ اِنْ هُوَ اِلَّا نَذ۪يرٌ مُب۪ينٌ,"Hiç düşünmediler mi? Onların arkadaşlarında (onlara gönderilen Nebi’de) hiçbir delilik yoktur. O, ancak apaçık bir uyarıcıdır.",
1139,7,Araf,185,اَوَلَمْ يَنْظُرُوا ف۪ي مَلَكُوتِ السَّمٰوَاتِ وَالْاَرْضِ وَمَا خَلَقَ اللّٰهُ مِنْ شَيْءٍۙ وَاَنْ عَسٰٓى اَنْ يَكُونَ قَدِ اقْتَرَبَ اَجَلُهُمْۚ فَبِاَيِّ حَد۪يثٍ بَعْدَهُ يُؤْمِنُونَ,"(İnsanı hayrete düşüren ve sayısız ayetle donatılmış) göklerin ve yerin melekutuna, Allah’ın yarattıklarına ve ecellerinin yaklaşmış olma ihtimaline bakıp düşünmediler mi? (Buna inanmadıktan sonra) daha hangi söze inanacaklar?",
1140,7,Araf,186,مَنْ يُضْلِلِ اللّٰهُ فَلَا هَادِيَ لَهُۜ وَيَذَرُهُمْ ف۪ي طُغْيَانِهِمْ يَعْمَهُونَ,Allah kimi saptırmışsa onu hidayet edecek kimse yoktur. Onları azgınlıkları içinde bocalar bir hâlde bırakır.,
1141,7,Araf,187,يَسْـَٔلُونَكَ عَنِ السَّاعَةِ اَيَّانَ مُرْسٰيهَاۜ قُلْ اِنَّمَا عِلْمُهَا عِنْدَ رَبّ۪يۚ لَا يُجَلّ۪يهَا لِوَقْتِهَٓا اِلَّا هُوَۜ ثَقُلَتْ فِي السَّمٰوَاتِ وَالْاَرْضِۜ لَا تَأْت۪يكُمْ اِلَّا بَغْتَةًۜ يَسْـَٔلُونَكَ كَاَنَّكَ حَفِيٌّ عَنْهَاۜ قُلْ اِنَّمَا عِلْمُهَا عِنْدَ اللّٰهِ وَلٰكِنَّ اَكْثَرَ النَّاسِ لَا يَعْلَمُونَ,Sana kıyametin ne zaman demir atacağını (gelip çatacağını) soruyorlar. De ki: “Onun bilgisi yalnızca Rabbimin katındadır. Onun vaktini O’ndan başkası açıklayamaz. (Onun bilgisi ve vuku bulacağı gerçeği) göklerde ve yerde olanlara ağır gelmiştir. Ancak aniden başınıza gelir.” Sanki ona dair tafsilatlı bilgiye sahipmişsin gibi tutup sana soruyorlar. De ki: “Onun bilgisi yalnızca Allah’ın katındadır. Fakat insanların çoğu bilmiyorlar.”,
1142,7,Araf,188,قُلْ لَٓا اَمْلِكُ لِنَفْس۪ي نَفْعًا وَلَا ضَرًّا اِلَّا مَا شَٓاءَ اللّٰهُۜ وَلَوْ كُنْتُ اَعْلَمُ الْغَيْبَ لَاسْتَكْثَرْتُ مِنَ الْخَيْرِۚ وَمَا مَسَّنِيَ السُّٓوءُ اِنْ اَنَا۬ اِلَّا نَذ۪يرٌ وَبَش۪يرٌ لِقَوْمٍ يُؤْمِنُونَ۟,"De ki: “Ben kendime, Allah’ın dilemesi dışında ne fayda ne de zarar verme gücüne sahibim. Şayet gaybı biliyor olsaydım, hayrı çoğaltırdım/daha fazla mal toplardım ve hiçbir kötülük bana dokunmazdı. Ben, yalnızca inanan bir topluluk için uyarıcı ve müjdeciyim.”",
1143,7,Araf,189,هُوَ الَّذ۪ي خَلَقَكُمْ مِنْ نَفْسٍ وَاحِدَةٍ وَجَعَلَ مِنْهَا زَوْجَهَا لِيَسْكُنَ اِلَيْهَاۚ فَلَمَّا تَغَشّٰيهَا حَمَلَتْ حَمْلًا خَف۪يفًا فَمَرَّتْ بِه۪ۚ فَلَمَّٓا اَثْقَلَتْ دَعَوَا اللّٰهَ رَبَّهُمَا لَئِنْ اٰتَيْتَنَا صَالِحًا لَنَكُونَنَّ مِنَ الشَّاكِر۪ينَ,"O, sizi tek bir nefisten (Âdem’den) yaratan ve sükûnete kavuşsun diye ondan eşini yaratandır. Eşini örtüp bürüyerek (onunla beraber olunca), hafif bir yük yüklendi ve (bir müddet) onunla dolaştı. Yükü ağırlaşınca ikisi beraber Rableri olan Allah’a şöyle dua ettiler: “Şayet bize salih (bir evlat) verirsen andolsun ki şükredenlerden olacağız.”",
1144,7,Araf,190,فَلَمَّٓا اٰتٰيهُمَا صَالِحًا جَعَلَا لَهُ شُرَكَٓاءَ ف۪يمَٓا اٰتٰيهُمَاۚ فَتَعَالَى اللّٰهُ عَمَّا يُشْرِكُونَ,"(Allah) onlara salih bir çocuk verince, tuttular (Allah’ın) onlara verdiği (evlat) konusunda (Allah’a) ortak koştular. Allah, onların şirk koştuklarından yücedir.",
1145,7,Araf,191,اَيُشْرِكُونَ مَا لَا يَخْلُقُ شَيْـًٔا وَهُمْ يُخْلَقُونَۘ,"Yoksa onlar, hiçbir şey yaratmayan, kendisi yaratılmış varlıkları mı (Allah’a) ortak koşuyorlar?",
1146,7,Araf,192,وَلَا يَسْتَط۪يعُونَ لَهُمْ نَصْرًا وَلَٓا اَنْفُسَهُمْ يَنْصُرُونَ,"(Oysa) bu varlıklar, ne onlara ne de kendilerine yardım etmeye güç yetirebilirler.",
1147,7,Araf,193,وَاِنْ تَدْعُوهُمْ اِلَى الْهُدٰى لَا يَتَّبِعُوكُمْۜ سَوَٓاءٌ عَلَيْكُمْ اَدَعَوْتُمُوهُمْ اَمْ اَنْتُمْ صَامِتُونَ,"Onları hidayete çağırsanız, size uymazlar. Gerçi onları çağırsanız da sussanız da birdir (inanmazlar).",
1148,7,Araf,194,اِنَّ الَّذ۪ينَ تَدْعُونَ مِنْ دُونِ اللّٰهِ عِبَادٌ اَمْثَالُكُمْ فَادْعُوهُمْ فَلْيَسْتَج۪يبُوا لَكُمْ اِنْ كُنْتُمْ صَادِق۪ينَ,"Allah’ı bırakıp da kendilerine dua ettiğiniz varlıklar, sizin gibi (Allah’a) kuldurlar. Şayet doğruysanız, çağırın da çağrınıza karşılık versinler.",
1149,7,Araf,195,اَلَهُمْ اَرْجُلٌ يَمْشُونَ بِهَاۘ اَمْ لَهُمْ اَيْدٍ يَبْطِشُونَ بِهَاۘ اَمْ لَهُمْ اَعْيُنٌ يُبْصِرُونَ بِهَاۘ اَمْ لَهُمْ اٰذَانٌ يَسْمَعُونَ بِهَاۜ قُلِ ادْعُوا شُرَكَٓاءَكُمْ ثُمَّ ك۪يدُونِ فَلَا تُنْظِرُونِ,"Onların kendisiyle yürüdükleri ayakları, tutacak elleri, görecek gözleri, işitecek kulakları mı var ki (çağrınıza icabet etsinler)? De ki: “Bütün ortaklarınızı çağırın. Sonra elinizden gelen tuzağı kurun ve bana göz açtırmayın.”",
1150,7,Araf,196,اِنَّ وَلِيِّيَ اللّٰهُ الَّذ۪ي نَزَّلَ الْكِتَابَۘ وَهُوَ يَتَوَلَّى الصَّالِح۪ينَ,"“Şüphesiz ki benim velim, Kitab’ı indiren Allah’tır. O, salihleri veli edinir.”",
1151,7,Araf,197,وَالَّذ۪ينَ تَدْعُونَ مِنْ دُونِه۪ لَا يَسْتَط۪يعُونَ نَصْرَكُمْ وَلَٓا اَنْفُسَهُمْ يَنْصُرُونَ,"O’nu bırakıp da dua ettikleriniz, size yardım etmeye de kendilerine yardıma da güç yetiremezler.",
1152,7,Araf,198,وَاِنْ تَدْعُوهُمْ اِلَى الْهُدٰى لَا يَسْمَعُواۜ وَتَرٰيهُمْ يَنْظُرُونَ اِلَيْكَ وَهُمْ لَا يُبْصِرُونَ,"Onları hidayete çağırsanız, sizi duymazlar. Onların sana baktığını görürsün, fakat onlar görmezler.",
1153,7,Araf,199,خُذِ الْعَفْوَ وَأْمُرْ بِالْعُرْفِ وَاَعْرِضْ عَنِ الْجَاهِل۪ينَ,"(Bütün bunlara rağmen) sen af yolunu tut, iyi olanı emret ve cahillerden yüz çevir.",
1154,7,Araf,200,وَاِمَّا يَنْزَغَنَّكَ مِنَ الشَّيْطَانِ نَزْغٌ فَاسْتَعِذْ بِاللّٰهِۜ اِنَّهُ سَم۪يعٌ عَل۪يمٌ,"Şeytandan sana bir dürtü/vesvese gelirse, Allah’a sığın. Şüphesiz ki O, (işiten ve dualara icabet eden) Semi’, (her şeyi bilen) Alîm’dir.",
1155,7,Araf,201,اِنَّ الَّذ۪ينَ اتَّقَوْا اِذَا مَسَّهُمْ طَٓائِفٌ مِنَ الشَّيْطَانِ تَذَكَّرُوا فَاِذَا هُمْ مُبْصِرُونَۚ,"Korkup sakınan (muttakileri), şeytanlar (vesvese ve kışkırtmalarıyla) kuşattığında, (Allah’ı) anıp hatırlarlar. (Bir de ne göresin hemen o hâlden kurtulmuş, şeytanın vesvesesine karşı) basiretli hâle gelmişlerdir.",
1156,7,Araf,202,وَاِخْوَانُهُمْ يَمُدُّونَهُمْ فِي الْغَيِّ ثُمَّ لَا يُقْصِرُونَ,"(Şeytanlarla dost ve) kardeş olanlarsa, (şeytan) onları sapıklığa iter ve (onları saptırmayı bir görev bilir ve görevlerini) hiç aksatmazlar.",
1157,7,Araf,203,وَاِذَا لَمْ تَأْتِهِمْ بِاٰيَةٍ قَالُوا لَوْلَا اجْتَبَيْتَهَاۜ قُلْ اِنَّمَٓا اَتَّبِعُ مَا يُوحٰٓى اِلَيَّ مِنْ رَبّ۪يۚ هٰذَا بَصَٓائِرُ مِنْ رَبِّكُمْ وَهُدًى وَرَحْمَةٌ لِقَوْمٍ يُؤْمِنُونَ,"(Senden harikulade olaylar, mucizeler isteyip de) onlara bir ayet/mucize getirmediğinde: “Sen onu derlesen ya!” derler. De ki: “Ben yalnızca Rabbimden bana vahyolunana uyarım. (İlle de bir ayet/mucize istiyorsanız) işte bu (Kitap), içinde Rabbinizden basiretler taşıyan, mümin bir topluluk için hidayet ve rahmet olan bir ayettir/mucizedir.”",
1158,7,Araf,204,وَاِذَا قُرِئَ الْقُرْاٰنُ فَاسْتَمِعُوا لَهُ وَاَنْصِتُوا لَعَلَّكُمْ تُرْحَمُونَ,"(Kur’ân’ın insanı basiretli kılan, hidayete erdiren ve rahmete eriştiren ayetlerinden istifade etmek istiyorsanız) Kur’ân okunduğunda onu dinleyin ve susun ki merhamet olunasınız.",
1159,7,Araf,205,وَاذْكُرْ رَبَّكَ ف۪ي نَفْسِكَ تَضَرُّعًا وَخ۪يفَةً وَدُونَ الْجَهْرِ مِنَ الْقَوْلِ بِالْغُدُوِّ وَالْاٰصَالِ وَلَا تَكُنْ مِنَ الْغَافِل۪ينَ,"Gönülden yalvararak, korku ile ve yüksek olmayan bir sesle, sabah ve akşam Rabbini zikret. Sakın gafillerden olma!",
